person_id,vulnerability,mobility,group_size,distance_center_C1,distance_center_C2,distance_center_C3,distance_center_C4,distance_center_C5
P1,0.6,8.3,4,44.3,37.7,19.7,29.0,37.4
P2,5.8,6.5,2,28.4,17.4,39.9,8.6,44.5
P3,9.3,5.2,1,27.5,43.9,57.8,45.0,27.0
P4,1.2,6.4,5,30.4,49.2,71.5,52.6,40.3
P5,7.2,10.0,1,14.0,5.1,56.7,11.8,50.6
P6,4.2,10.0,2,6.0,25.0,63.6,30.2,44.6
P7,4.8,5.7,1,34.7,15.8,61.6,16.5,66.6
P8,2.4,5.9,4,17.1,35.6,72.7,41.4,48.9
P9,4.2,8.2,3,35.0,53.3,70.2,55.9,37.0
P10,8.3,3.4,1,46.6,49.3,20.9,43.1,16.4
P11,6.5,6.3,1,37.1,20.5,45.5,12.8,56.3
P12,9.3,5.4,2,31.7,43.8,45.4,42.1,14.9
P13,7.9,6.3,2,27.5,44.8,61.0,46.5,30.1
P14,6.1,3.4,4,45.2,53.3,35.1,49.2,1.8
P15,9.4,1.5,1,41.6,44.3,23.3,38.3,16.8
P16,6.1,0.3,5,36.3,31.0,26.0,22.9,34.4
P17,7.1,2.7,2,10.2,29.1,62.9,33.4,41.2
P18,4.3,4.4,4,25.9,7.7,53.0,5.1,55.2
P19,5.2,4.8,1,29.0,43.7,52.3,43.6,21.4
P20,3.3,10.0,1,21.9,40.9,71.6,45.6,44.5
P21,7.5,8.3,1,50.3,66.8,68.2,67.2,31.4
P22,2.1,3.1,1,15.8,5.5,53.1,8.7,48.5
P23,7.0,6.4,5,24.4,12.2,44.9,3.9,46.5
P24,4.5,4.5,1,23.9,29.4,38.3,26.1,24.6
P25,7.9,4.8,1,49.9,64.8,60.4,64.0,23.5
P26,6.9,6.0,1,7.7,20.7,53.5,23.0,37.8
P27,9.6,7.0,5,27.1,21.1,36.1,13.8,37.7
P28,6.8,4.7,3,12.6,18.6,48.0,18.5,36.2
P29,1.1,8.2,4,17.8,34.6,57.2,36.6,31.9
P30,4.8,2.6,3,52.0,60.7,38.0,56.7,6.9
P31,2.1,5.5,3,39.2,49.4,40.6,46.5,6.7
P32,3.7,10.0,4,15.4,32.4,74.3,39.2,53.0
P33,8.8,6.1,1,51.3,63.1,48.7,60.6,12.8
P34,6.6,9.1,4,37.1,39.6,26.0,33.9,18.8
P35,3.3,5.7,3,28.5,22.0,35.1,14.3,38.0
P36,2.5,7.0,3,8.0,24.5,56.4,27.4,37.7
P37,5.1,5.4,2,19.2,37.3,75.8,43.5,52.0
P38,2.0,5.1,4,58.0,72.3,62.2,71.0,26.3
P39,3.3,3.6,2,4.0,19.0,56.8,22.9,41.6
P40,5.8,6.6,1,43.1,50.7,33.6,46.5,4.2
P41,7.9,3.4,5,47.1,49.4,20.0,43.1,17.3
P42,6.5,7.2,1,23.3,36.4,48.4,35.9,22.8
P43,0.0,8.2,1,35.7,39.3,28.2,34.0,17.5
P44,5.8,6.4,2,37.9,55.1,64.9,56.3,30.2
P45,5.2,4.8,1,58.7,55.0,1.9,46.7,35.8
P46,6.0,6.6,4,20.5,3.5,60.2,12.0,57.4
P47,9.0,4.7,2,51.4,45.6,12.0,37.0,37.6
P48,0.0,7.8,1,19.5,5.8,51.2,5.0,49.2
P49,3.5,0.9,5,25.5,41.3,55.2,42.1,25.7
P50,6.5,4.7,2,57.5,55.3,5.1,47.2,31.7
P51,1.0,0.5,1,27.8,44.7,59.8,46.1,28.8
P52,8.7,1.8,3,34.2,39.6,31.5,35.0,15.4
P53,5.9,8.9,2,51.0,49.0,10.1,41.2,28.6
P54,7.1,7.7,1,19.7,7.2,49.8,4.7,48.0
P55,3.6,3.7,4,27.3,30.3,34.0,25.6,24.6
P56,7.0,1.7,2,19.9,19.5,41.2,15.6,34.8
P57,7.7,0.0,3,48.3,57.7,39.2,54.0,3.9
P58,5.6,4.1,5,51.4,58.9,33.9,54.4,6.8
P59,5.6,10.0,2,37.3,53.5,60.5,54.1,25.6
P60,5.7,6.6,3,48.1,53.4,27.2,48.1,9.8
P61,2.8,4.1,1,54.2,50.7,6.4,42.5,33.4
P62,4.6,6.7,1,15.0,31.3,55.7,33.2,32.5
P63,4.6,1.6,2,31.8,50.8,75.2,54.7,44.1
P64,6.0,4.8,4,13.3,16.6,69.7,25.4,58.2
P65,7.5,5.7,2,24.9,43.4,78.9,49.3,52.6
P66,2.4,5.3,1,20.4,29.8,43.7,28.2,25.3
P67,4.7,7.5,4,14.8,10.4,65.5,19.4,57.3
P68,8.7,6.4,4,24.2,40.4,56.3,41.5,27.4
P69,3.1,7.2,5,31.5,38.9,35.9,35.3,15.1
P70,2.9,3.8,1,37.5,55.7,71.0,58.1,37.1
P71,5.5,7.7,3,32.2,14.1,51.5,9.0,58.0
P72,7.1,9.6,2,45.1,51.3,29.7,46.4,7.3
P73,5.0,3.1,2,49.4,52.5,21.3,46.4,15.6
P74,8.3,3.3,2,37.8,40.5,25.7,34.7,18.1
P75,7.1,8.8,1,23.3,10.5,46.6,2.7,47.5
P76,7.1,5.0,1,57.4,54.7,4.3,46.6,32.6
P77,6.4,9.0,2,47.3,63.8,66.4,64.2,29.8
P78,10.0,4.4,5,16.1,31.2,53.2,32.4,30.4
P79,4.5,9.1,4,26.1,8.0,52.8,5.1,55.1
P80,0.0,5.8,1,48.1,41.9,15.7,33.2,37.6
P81,9.0,6.1,3,34.2,41.7,35.1,38.0,12.3
P82,3.9,9.4,1,50.3,45.4,11.7,36.9,35.2
P83,5.3,4.6,3,50.8,66.7,65.3,66.6,28.5
P84,8.3,3.1,1,45.4,36.1,23.9,27.0,43.6
P85,1.0,4.4,2,23.2,4.3,58.0,9.5,57.4
P86,1.9,6.6,3,32.9,13.9,56.1,11.8,61.7
P87,1.0,1.6,2,19.8,35.8,54.9,37.0,28.9
P88,3.0,7.1,4,15.6,6.6,52.3,8.7,47.4
P89,6.1,4.2,2,37.0,54.2,64.7,55.5,30.3
P90,6.3,8.4,5,12.5,31.4,67.7,36.7,45.3
P91,5.7,0.0,3,17.9,32.4,78.3,40.1,58.5
P92,1.5,3.5,1,53.2,52.4,10.3,44.8,26.7
P93,0.0,1.3,4,47.1,61.3,55.9,60.1,19.1
P94,5.1,3.4,2,32.9,22.0,36.1,12.9,44.4
P95,3.8,6.1,2,41.4,53.7,47.1,51.7,10.9
P96,6.1,5.1,1,37.3,20.0,47.8,13.1,58.3
P97,6.8,4.9,1,28.1,46.1,64.8,48.5,33.8
P98,5.3,5.1,2,55.2,67.6,52.5,65.2,17.4
P99,6.9,6.0,1,48.0,50.9,21.0,44.7,15.9
P100,5.6,3.0,5,45.9,53.3,32.9,48.8,3.9
P101,6.3,7.3,4,11.4,14.1,50.3,15.1,40.7
P102,3.2,7.2,3,47.6,46.7,14.1,39.3,25.3
P103,4.6,6.5,3,21.4,10.4,46.5,4.6,45.8
P104,5.5,6.9,2,50.1,64.9,59.7,64.0,22.9
P105,7.1,6.2,1,11.1,21.5,71.0,29.6,56.1
P106,4.0,10.0,2,33.3,41.7,37.0,38.4,12.4
P107,6.3,5.3,2,37.0,22.7,39.8,13.7,51.5
P108,4.3,4.7,5,48.2,43.1,13.9,34.6,35.0
P109,4.7,3.6,1,53.1,59.2,29.8,54.0,10.3
P110,7.1,2.9,2,25.3,44.3,71.7,48.4,42.8
P111,0.0,2.4,1,44.4,53.9,39.1,50.5,2.4
P112,1.8,3.3,1,17.4,10.3,66.6,19.6,59.5
P113,1.3,5.3,1,27.9,9.1,59.9,12.1,61.6
P114,0.0,6.3,1,32.4,28.1,29.3,20.6,33.3
