person_id,center_id,td,rcs,phs
P0000,C00,38.7,partially_blocked,none
P0000,C01,2.13,partially_blocked,minor
P0000,C02,33.0,clear,minor
P0000,C03,25.18,partially_blocked,extreme
P0000,C04,17.95,partially_blocked,significant
P0000,C05,8.99,blocked,none
P0000,C06,20.4,partially_blocked,minor
P0000,C07,32.29,blocked,none
P0000,C08,12.08,partially_blocked,none
P0000,C09,19.44,blocked,none
P0001,C00,13.0,clear,moderate
P0001,C01,7.96,partially_blocked,minor
P0001,C02,8.66,clear,none
P0001,C03,16.9,clear,significant
P0001,C04,13.38,partially_blocked,moderate
P0001,C05,14.6,clear,significant
P0001,C06,5.35,partially_blocked,none
P0001,C07,27.26,partially_blocked,significant
P0001,C08,39.35,blocked,moderate
P0001,C09,64.46,clear,minor
P0002,C00,26.76,partially_blocked,none
P0002,C01,12.29,clear,minor
P0002,C02,8.17,clear,minor
P0002,C03,9.58,clear,minor
P0002,C04,21.05,clear,none
P0002,C05,29.84,blocked,significant
P0002,C06,18.03,clear,moderate
P0002,C07,8.03,clear,minor
P0002,C08,23.24,clear,none
P0002,C09,20.55,clear,none
P0003,C00,37.24,clear,moderate
P0003,C01,19.44,clear,minor
P0003,C02,24.99,clear,minor
P0003,C03,55.7,partially_blocked,moderate
P0003,C04,19.83,clear,none
P0003,C05,34.29,clear,none
P0003,C06,62.44,clear,none
P0003,C07,8.27,partially_blocked,moderate
P0003,C08,57.74,clear,none
P0003,C09,26.54,partially_blocked,none
P0004,C00,33.4,partially_blocked,none
P0004,C01,43.0,clear,moderate
P0004,C02,23.59,clear,significant
P0004,C03,45.31,blocked,minor
P0004,C04,4.63,clear,none
P0004,C05,2.98,clear,minor
P0004,C06,54.78,clear,minor
P0004,C07,27.0,clear,moderate
P0004,C08,5.41,clear,moderate
P0004,C09,27.2,partially_blocked,minor
P0005,C00,17.87,blocked,none
P0005,C01,10.81,clear,none
P0005,C02,37.02,partially_blocked,moderate
P0005,C03,17.24,partially_blocked,minor
P0005,C04,8.17,partially_blocked,none
P0005,C05,30.21,clear,none
P0005,C06,45.13,clear,none
P0005,C07,29.27,clear,none
P0005,C08,15.2,partially_blocked,moderate
P0005,C09,67.19,clear,minor
P0006,C00,31.36,partially_blocked,minor
P0006,C01,21.79,clear,moderate
P0006,C02,29.32,partially_blocked,significant
P0006,C03,15.66,partially_blocked,moderate
P0006,C04,2.0,blocked,moderate
P0006,C05,10.04,blocked,none
P0006,C06,9.27,clear,moderate
P0006,C07,56.34,partially_blocked,none
P0006,C08,50.01,clear,none
P0006,C09,16.15,clear,moderate
P0007,C00,18.19,clear,significant
P0007,C01,8.46,clear,minor
P0007,C02,26.82,clear,none
P0007,C03,32.12,clear,none
P0007,C04,38.39,partially_blocked,none
P0007,C05,16.63,blocked,none
P0007,C06,23.09,clear,moderate
P0007,C07,23.49,partially_blocked,none
P0007,C08,16.18,blocked,none
P0007,C09,43.55,clear,minor
P0008,C00,40.96,clear,moderate
P0008,C01,2.0,blocked,none
P0008,C02,23.82,partially_blocked,minor
P0008,C03,2.0,clear,moderate
P0008,C04,40.47,partially_blocked,minor
P0008,C05,25.63,clear,minor
P0008,C06,57.04,partially_blocked,moderate
P0008,C07,22.51,partially_blocked,minor
P0008,C08,38.99,partially_blocked,significant
P0008,C09,8.63,blocked,none
P0009,C00,22.13,clear,minor
P0009,C01,11.57,blocked,significant
P0009,C02,22.62,partially_blocked,none
P0009,C03,2.0,partially_blocked,moderate
P0009,C04,17.86,partially_blocked,minor
P0009,C05,29.19,partially_blocked,significant
P0009,C06,16.27,partially_blocked,significant
P0009,C07,8.5,partially_blocked,none
P0009,C08,21.83,partially_blocked,minor
P0009,C09,24.56,clear,minor
P0010,C00,25.15,clear,none
P0010,C01,11.75,blocked,none
P0010,C02,36.56,blocked,none
P0010,C03,66.64,clear,none
P0010,C04,25.75,partially_blocked,extreme
P0010,C05,55.57,clear,none
P0010,C06,8.55,blocked,moderate
P0010,C07,13.29,partially_blocked,minor
P0010,C08,42.79,clear,significant
P0010,C09,20.33,partially_blocked,minor
P0011,C00,13.6,clear,none
P0011,C01,41.76,blocked,minor
P0011,C02,37.57,clear,significant
P0011,C03,2.0,clear,minor
P0011,C04,68.15,clear,extreme
P0011,C05,6.15,clear,moderate
P0011,C06,39.3,clear,minor
P0011,C07,51.13,partially_blocked,none
P0011,C08,15.82,clear,minor
P0011,C09,32.63,clear,significant
P0012,C00,37.27,partially_blocked,minor
P0012,C01,38.31,partially_blocked,minor
P0012,C02,7.09,partially_blocked,minor
P0012,C03,49.54,partially_blocked,minor
P0012,C04,40.74,blocked,none
P0012,C05,14.77,clear,none
P0012,C06,11.63,blocked,none
P0012,C07,16.06,blocked,extreme
P0012,C08,2.0,clear,moderate
P0012,C09,4.59,partially_blocked,extreme
P0013,C00,24.33,blocked,none
P0013,C01,9.33,partially_blocked,minor
P0013,C02,37.02,clear,extreme
P0013,C03,13.74,partially_blocked,minor
P0013,C04,54.26,clear,moderate
P0013,C05,37.5,partially_blocked,moderate
P0013,C06,20.44,partially_blocked,extreme
P0013,C07,15.61,clear,none
P0013,C08,42.86,blocked,none
P0013,C09,30.35,blocked,minor
P0014,C00,12.89,clear,none
P0014,C01,6.48,clear,none
P0014,C02,10.6,partially_blocked,significant
P0014,C03,15.52,partially_blocked,moderate
P0014,C04,22.72,clear,moderate
P0014,C05,51.7,partially_blocked,none
P0014,C06,33.16,partially_blocked,significant
P0014,C07,42.67,blocked,none
P0014,C08,47.74,clear,none
P0014,C09,32.72,partially_blocked,minor
P0015,C00,34.94,clear,moderate
P0015,C01,15.41,clear,none
P0015,C02,33.52,partially_blocked,moderate
P0015,C03,22.21,clear,none
P0015,C04,21.28,blocked,extreme
P0015,C05,7.21,partially_blocked,extreme
P0015,C06,17.87,partially_blocked,minor
P0015,C07,20.92,partially_blocked,significant
P0015,C08,44.1,clear,significant
P0015,C09,22.27,partially_blocked,extreme
P0016,C00,17.04,clear,none
P0016,C01,8.42,partially_blocked,none
P0016,C02,30.94,clear,significant
P0016,C03,32.18,partially_blocked,significant
P0016,C04,28.07,clear,minor
P0016,C05,16.15,blocked,moderate
P0016,C06,8.96,partially_blocked,minor
P0016,C07,38.57,clear,none
P0016,C08,37.09,partially_blocked,minor
P0016,C09,13.08,partially_blocked,significant
P0017,C00,86.32,clear,none
P0017,C01,35.54,clear,minor
P0017,C02,17.98,clear,none
P0017,C03,26.95,partially_blocked,none
P0017,C04,21.97,partially_blocked,minor
P0017,C05,65.38,partially_blocked,moderate
P0017,C06,14.25,partially_blocked,minor
P0017,C07,2.29,clear,significant
P0017,C08,67.19,clear,none
P0017,C09,8.08,partially_blocked,minor
P0018,C00,15.38,clear,none
P0018,C01,16.61,blocked,minor
P0018,C02,40.67,clear,none
P0018,C03,38.8,clear,none
P0018,C04,22.87,clear,significant
P0018,C05,15.75,partially_blocked,minor
P0018,C06,49.34,partially_blocked,moderate
P0018,C07,9.28,partially_blocked,none
P0018,C08,27.71,partially_blocked,moderate
P0018,C09,32.38,partially_blocked,moderate
P0019,C00,35.31,clear,minor
P0019,C01,16.43,partially_blocked,none
P0019,C02,14.29,partially_blocked,none
P0019,C03,62.52,blocked,moderate
P0019,C04,12.4,clear,none
P0019,C05,30.87,partially_blocked,moderate
P0019,C06,10.05,clear,minor
P0019,C07,18.81,clear,minor
P0019,C08,20.1,partially_blocked,moderate
P0019,C09,17.25,clear,significant
P0020,C00,44.32,partially_blocked,moderate
P0020,C01,24.16,clear,moderate
P0020,C02,58.6,partially_blocked,none
P0020,C03,4.81,partially_blocked,moderate
P0020,C04,11.98,partially_blocked,moderate
P0020,C05,44.18,partially_blocked,minor
P0020,C06,29.53,blocked,moderate
P0020,C07,21.87,partially_blocked,moderate
P0020,C08,22.3,clear,minor
P0020,C09,88.42,partially_blocked,minor
P0021,C00,55.82,clear,moderate
