person_id,center_id,td,rcs,phs
P0000,C00,3.51,clear,none
P0000,C01,28.83,blocked,minor
P0000,C02,22.03,partially_blocked,significant
P0000,C03,56.3,clear,moderate
P0000,C04,23.85,partially_blocked,none
P0000,C05,26.95,clear,none
P0000,C06,29.09,clear,none
P0000,C07,53.78,partially_blocked,none
P0001,C00,21.74,partially_blocked,moderate
P0001,C01,48.14,partially_blocked,moderate
P0001,C02,34.46,clear,none
P0001,C03,61.68,clear,minor
P0001,C04,28.05,blocked,minor
P0001,C05,33.05,blocked,moderate
P0001,C06,8.08,clear,minor
P0001,C07,29.7,clear,extreme
P0002,C00,2.0,partially_blocked,none
P0002,C01,9.7,partially_blocked,none
P0002,C02,34.36,partially_blocked,significant
P0002,C03,35.87,clear,none
P0002,C04,29.07,partially_blocked,none
P0002,C05,51.34,blocked,none
P0002,C06,51.3,clear,none
P0002,C07,24.06,blocked,minor
P0003,C00,18.83,partially_blocked,minor
P0003,C01,12.14,partially_blocked,minor
P0003,C02,11.34,partially_blocked,none
P0003,C03,29.55,partially_blocked,minor
P0003,C04,14.31,clear,minor
P0003,C05,42.9,clear,none
P0003,C06,25.02,partially_blocked,none
P0003,C07,69.71,clear,minor
P0004,C00,7.22,clear,minor
P0004,C01,17.4,blocked,moderate
P0004,C02,29.52,clear,none
P0004,C03,27.33,blocked,minor
P0004,C04,20.78,partially_blocked,moderate
P0004,C05,52.28,clear,moderate
P0004,C06,4.42,partially_blocked,minor
P0004,C07,33.64,partially_blocked,minor
P0005,C00,47.84,partially_blocked,significant
P0005,C01,8.12,clear,moderate
P0005,C02,48.7,partially_blocked,moderate
P0005,C03,58.67,blocked,minor
P0005,C04,27.64,clear,minor
P0005,C05,30.84,clear,none
P0005,C06,9.93,clear,moderate
P0005,C07,34.83,clear,minor
P0006,C00,33.62,partially_blocked,significant
P0006,C01,11.32,clear,moderate
P0006,C02,3.39,partially_blocked,none
P0006,C03,30.35,partially_blocked,minor
P0006,C04,45.77,clear,moderate
P0006,C05,6.49,clear,minor
P0006,C06,13.6,partially_blocked,none
P0006,C07,22.41,clear,moderate
P0007,C00,37.48,clear,minor
P0007,C01,42.13,partially_blocked,minor
P0007,C02,28.47,partially_blocked,minor
P0007,C03,28.24,partially_blocked,minor
P0007,C04,18.93,partially_blocked,minor
P0007,C05,69.84,clear,significant
P0007,C06,31.65,blocked,none
P0007,C07,13.79,blocked,significant
P0008,C00,31.79,partially_blocked,minor
P0008,C01,33.99,blocked,none
P0008,C02,13.06,partially_blocked,none
P0008,C03,13.34,partially_blocked,minor
P0008,C04,8.52,partially_blocked,none
P0008,C05,2.0,partially_blocked,minor
P0008,C06,13.85,blocked,significant
P0008,C07,26.36,partially_blocked,moderate
P0009,C00,26.68,clear,none
P0009,C01,33.59,clear,none
P0009,C02,58.98,partially_blocked,none
P0009,C03,12.3,clear,moderate
P0009,C04,48.14,clear,minor
P0009,C05,9.43,partially_blocked,minor
P0009,C06,6.67,partially_blocked,moderate
P0009,C07,28.13,partially_blocked,moderate
P0010,C00,56.7,partially_blocked,none
P0010,C01,31.27,partially_blocked,moderate
P0010,C02,2.09,blocked,significant
P0010,C03,25.13,partially_blocked,minor
P0010,C04,33.54,partially_blocked,moderate
P0010,C05,18.23,partially_blocked,minor
P0010,C06,38.03,clear,minor
P0010,C07,19.44,partially_blocked,significant
P0011,C00,10.03,clear,none
P0011,C01,42.3,clear,none
P0011,C02,39.57,partially_blocked,none
P0011,C03,2.83,clear,none
P0011,C04,66.53,clear,moderate
P0011,C05,13.27,partially_blocked,minor
P0011,C06,36.38,partially_blocked,none
P0011,C07,16.16,clear,moderate
P0012,C00,50.07,blocked,minor
P0012,C01,12.7,blocked,minor
P0012,C02,36.36,clear,moderate
P0012,C03,16.99,clear,minor
P0012,C04,65.37,clear,minor
P0012,C05,16.95,blocked,significant
P0012,C06,26.74,partially_blocked,moderate
P0012,C07,16.03,clear,none
P0013,C00,3.96,blocked,minor
P0013,C01,55.99,clear,none
P0013,C02,34.51,clear,minor
P0013,C03,19.95,partially_blocked,extreme
P0013,C04,57.19,blocked,none
P0013,C05,13.9,partially_blocked,moderate
P0013,C06,25.9,partially_blocked,minor
P0013,C07,28.87,partially_blocked,extreme
P0014,C00,60.63,blocked,moderate
P0014,C01,34.53,partially_blocked,moderate
P0014,C02,12.43,partially_blocked,moderate
P0014,C03,45.94,blocked,none
P0014,C04,30.64,clear,moderate
P0014,C05,29.85,blocked,extreme
P0014,C06,9.35,clear,moderate
P0014,C07,45.48,clear,none
P0015,C00,11.89,clear,minor
P0015,C01,39.53,blocked,none
P0015,C02,49.01,clear,none
P0015,C03,12.19,partially_blocked,moderate
P0015,C04,15.62,clear,extreme
P0015,C05,5.5,partially_blocked,moderate
P0015,C06,8.02,blocked,moderate
P0015,C07,24.64,clear,extreme
P0016,C00,7.8,blocked,moderate
P0016,C01,17.03,clear,extreme
P0016,C02,39.47,partially_blocked,none
P0016,C03,37.65,blocked,minor
P0016,C04,6.64,clear,significant
P0016,C05,4.57,partially_blocked,minor
P0016,C06,13.82,clear,none
P0016,C07,28.27,clear,minor
P0017,C00,11.35,clear,moderate
P0017,C01,72.49,clear,minor
P0017,C02,38.33,clear,moderate
P0017,C03,27.21,partially_blocked,none
P0017,C04,38.9,blocked,moderate
P0017,C05,9.81,partially_blocked,significant
P0017,C06,2.49,blocked,none
P0017,C07,6.81,partially_blocked,none
P0018,C00,43.94,partially_blocked,minor
P0018,C01,19.07,clear,minor
P0018,C02,70.56,partially_blocked,significant
P0018,C03,74.95,clear,moderate
P0018,C04,6.62,blocked,minor
P0018,C05,22.06,blocked,moderate
P0018,C06,2.0,clear,none
P0018,C07,9.29,partially_blocked,minor
P0019,C00,45.42,clear,minor
P0019,C01,45.98,clear,moderate
P0019,C02,27.49,blocked,none
P0019,C03,31.75,clear,none
P0019,C04,11.97,clear,moderate
P0019,C05,8.99,clear,minor
P0019,C06,43.75,partially_blocked,moderate
P0019,C07,29.37,partially_blocked,none
P0020,C00,65.2,clear,none
P0020,C01,39.9,clear,moderate
P0020,C02,39.76,partially_blocked,none
P0020,C03,2.89,partially_blocked,moderate
P0020,C04,30.59,clear,none
P0020,C05,13.1,clear,moderate
P0020,C06,57.57,partially_blocked,none
P0020,C07,15.73,clear,significant
P0021,C00,39.63,clear,minor
P0021,C01,14.54,clear,moderate
P0021,C02,11.35,partially_blocked,moderate
P0021,C03,41.21,partially_blocked,minor
P0021,C04,33.07,blocked,extreme
P0021,C05,10.62,clear,none
P0021,C06,36.38,clear,extreme
P0021,C07,54.21,partially_blocked,significant
P0022,C00,9.21,partially_blocked,moderate
P0022,C01,29.24,clear,none
P0022,C02,10.05,partially_blocked,significant
P0022,C03,35.53,clear,extreme
P0022,C04,24.39,blocked,minor
P0022,C05,23.19,partially_blocked,minor
P0022,C06,6.1,clear,moderate
P0022,C07,11.6,clear,minor
P0023,C00,44.77,partially_blocked,none
P0023,C01,31.18,clear,significant
P0023,C02,26.08,blocked,moderate
P0023,C03,8.73,clear,none
P0023,C04,15.13,blocked,none
P0023,C05,33.56,clear,none
P0023,C06,37.15,clear,significant
P0023,C07,23.47,clear,minor
P0024,C00,5.45,clear,minor
P0024,C01,21.6,clear,minor
P0024,C02,17.77,blocked,none
P0024,C03,22.37,partially_blocked,moderate
P0024,C04,23.04,clear,significant
P0024,C05,4.04,partially_blocked,minor
P0024,C06,36.12,clear,moderate
P0024,C07,56.82,clear,extreme
P0025,C00,4.34,clear,none
P0025,C01,86.62,clear,minor
P0025,C02,26.46,blocked,none
P0025,C03,34.04,partially_blocked,moderate
P0025,C04,6.1,partially_blocked,minor
P0025,C05,70.44,blocked,minor
P0025,C06,45.48,clear,extreme
P0025,C07,41.1,partially_blocked,none
P0026,C00,39.69,clear,moderate
P0026,C01,26.88,clear,moderate
P0026,C02,24.5,clear,moderate
P0026,C03,44.5,blocked,moderate
P0026,C04,11.53,clear,none
P0026,C05,4.13,clear,none
P0026,C06,33.07,clear,moderate
P0026,C07,20.89,clear,none
P0027,C00,19.27,clear,moderate
P0027,C01,20.16,partially_blocked,significant
P0027,C02,31.63,blocked,significant
P0027,C03,5.82,partially_blocked,extreme
P0027,C04,12.5,partially_blocked,moderate
P0027,C05,16.88,partially_blocked,extreme
P0027,C06,45.1,clear,moderate
P0027,C07,34.82,partially_blocked,minor
P0028,C00,6.96,clear,moderate
P0028,C01,13.05,blocked,none
P0028,C02,38.48,blocked,minor
P0028,C03,34.43,partially_blocked,none
P0028,C04,13.63,partially_blocked,minor
P0028,C05,15.56,clear,minor
P0028,C06,36.76,blocked,none
P0028,C07,6.52,partially_blocked,minor
P0029,C00,29.19,partially_blocked,moderate
P0029,C01,15.01,clear,minor
P0029,C02,24.84,clear,minor
P0029,C03,24.34,clear,significant
P0029,C04,18.08,clear,minor
P0029,C05,7.22,clear,minor
P0029,C06,33.5,clear,moderate
P0029,C07,7.48,clear,moderate
P0030,C00,10.84,clear,minor
P0030,C01,50.17,clear,none
P0030,C02,6.22,partially_blocked,none
P0030,C03,25.04,partially_blocked,none
P0030,C04,14.45,clear,moderate
