person_id,center_id,td,rcs,phs
P0000,C00,21.67,clear,moderate
P0000,C01,11.6,partially_blocked,minor
P0000,C02,37.38,clear,none
P0000,C03,10.07,partially_blocked,none
P0000,C04,45.62,clear,none
P0001,C00,45.45,clear,minor
P0001,C01,38.43,blocked,minor
P0001,C02,4.32,blocked,moderate
P0001,C03,51.93,blocked,extreme
P0001,C04,2.0,partially_blocked,minor
P0002,C00,41.03,clear,moderate
P0002,C01,49.26,partially_blocked,none
P0002,C02,56.79,clear,significant
P0002,C03,38.59,clear,none
P0002,C04,26.49,partially_blocked,significant
P0003,C00,47.54,blocked,minor
P0003,C01,9.69,partially_blocked,minor
P0003,C02,37.56,clear,none
P0003,C03,31.58,partially_blocked,moderate
P0003,C04,43.46,blocked,minor
P0004,C00,19.54,clear,minor
P0004,C01,25.77,blocked,minor
P0004,C02,17.46,clear,minor
P0004,C03,13.98,clear,significant
P0004,C04,6.28,clear,moderate
P0005,C00,38.5,blocked,minor
P0005,C01,58.52,blocked,moderate
P0005,C02,45.47,blocked,none
P0005,C03,36.02,blocked,minor
P0005,C04,3.34,clear,moderate
P0006,C00,28.15,clear,moderate
P0006,C01,50.9,blocked,extreme
P0006,C02,3.35,clear,none
P0006,C03,7.18,clear,moderate
P0006,C04,39.82,clear,minor
P0007,C00,61.4,partially_blocked,moderate
P0007,C01,39.51,clear,none
P0007,C02,5.75,blocked,minor
P0007,C03,43.53,clear,moderate
P0007,C04,16.4,partially_blocked,moderate
P0008,C00,12.57,clear,minor
P0008,C01,8.96,partially_blocked,significant
P0008,C02,20.52,partially_blocked,minor
P0008,C03,20.99,partially_blocked,none
P0008,C04,11.33,partially_blocked,extreme
P0009,C00,21.11,partially_blocked,none
P0009,C01,5.7,blocked,significant
P0009,C02,23.76,clear,minor
P0009,C03,4.22,partially_blocked,minor
P0009,C04,4.81,clear,none
P0010,C00,12.6,clear,none
P0010,C01,17.79,blocked,minor
P0010,C02,6.4,clear,extreme
P0010,C03,17.86,clear,none
P0010,C04,19.62,partially_blocked,moderate
P0011,C00,22.18,partially_blocked,significant
P0011,C01,36.3,partially_blocked,none
P0011,C02,19.59,partially_blocked,extreme
P0011,C03,8.68,clear,minor
P0011,C04,9.53,clear,extreme
P0012,C00,6.59,clear,significant
P0012,C01,47.72,clear,minor
P0012,C02,11.51,partially_blocked,none
P0012,C03,37.24,clear,minor
P0012,C04,35.02,clear,extreme
P0013,C00,56.5,clear,none
P0013,C01,18.7,partially_blocked,significant
P0013,C02,38.61,clear,significant
P0013,C03,24.73,clear,moderate
P0013,C04,63.08,clear,minor
P0014,C00,63.74,clear,none
P0014,C01,40.44,partially_blocked,moderate
P0014,C02,57.08,blocked,moderate
P0014,C03,24.87,partially_blocked,significant
P0014,C04,2.75,partially_blocked,moderate
P0015,C00,37.33,partially_blocked,moderate
P0015,C01,26.99,clear,minor
P0015,C02,32.31,partially_blocked,moderate
P0015,C03,8.93,clear,moderate
P0015,C04,75.96,partially_blocked,moderate
P0016,C00,17.26,clear,none
P0016,C01,60.96,partially_blocked,significant
P0016,C02,45.05,partially_blocked,none
P0016,C03,26.21,partially_blocked,none
P0016,C04,9.5,partially_blocked,moderate
P0017,C00,22.25,blocked,minor
P0017,C01,13.91,blocked,none
P0017,C02,20.84,clear,minor
P0017,C03,29.61,blocked,significant
P0017,C04,13.53,clear,minor
P0018,C00,54.66,clear,minor
P0018,C01,21.21,partially_blocked,none
P0018,C02,22.65,blocked,minor
P0018,C03,36.64,partially_blocked,moderate
P0018,C04,22.08,partially_blocked,minor
P0019,C00,15.75,partially_blocked,none
P0019,C01,28.04,clear,minor
P0019,C02,13.57,clear,moderate
P0019,C03,4.9,clear,moderate
P0019,C04,53.15,partially_blocked,extreme
P0020,C00,36.33,partially_blocked,moderate
P0020,C01,20.82,partially_blocked,minor
P0020,C02,27.56,partially_blocked,none
P0020,C03,20.38,clear,moderate
P0020,C04,2.0,partially_blocked,significant
P0021,C00,21.47,partially_blocked,none
P0021,C01,38.04,blocked,minor
P0021,C02,50.34,clear,minor
P0021,C03,22.78,blocked,none
P0021,C04,48.87,partially_blocked,minor
P0022,C00,18.26,partially_blocked,moderate
P0022,C01,12.12,partially_blocked,moderate
P0022,C02,13.78,partially_blocked,minor
P0022,C03,36.76,clear,minor
P0022,C04,53.23,clear,moderate
P0023,C00,30.38,clear,minor
P0023,C01,3.86,blocked,moderate
P0023,C02,38.45,partially_blocked,none
P0023,C03,58.21,partially_blocked,minor
