size,algorithm,rep,seed,n_people,n_centers,n_dir,nns,latency_sec,peak_mem_mb
small,nsga2,0,1000,150,5,50,100,6.4356,1.456
small,nsga2,1,8919,150,5,50,100,6.0781,1.441
small,nsga2,2,16838,150,5,50,100,5.9445,1.443
small,nsga2,3,24757,150,5,50,100,6.207,1.396
small,nsga2,4,32676,150,5,50,100,6.2976,1.441
small,nsga2,5,40595,150,5,50,100,6.3067,1.439
small,nsga2,6,48514,150,5,50,100,6.136,1.443
small,nsga2,7,56433,150,5,50,100,6.0591,1.448
small,nsga2,8,64352,150,5,50,100,6.1977,1.441
small,nsga2,9,72271,150,5,50,100,6.3953,1.439
small,nrga,0,1000,150,5,50,100,5.1105,1.411
small,nrga,1,8919,150,5,50,100,4.4091,1.422
small,nrga,2,16838,150,5,50,100,4.2418,1.433
small,nrga,3,24757,150,5,50,100,4.2348,1.404
small,nrga,4,32676,150,5,50,100,4.481,1.403
small,nrga,5,40595,150,5,50,100,4.4013,1.422
small,nrga,6,48514,150,5,50,100,4.2761,1.428
small,nrga,7,56433,150,5,50,100,4.3707,1.412
small,nrga,8,64352,150,5,50,100,4.2586,1.286
small,nrga,9,72271,150,5,50,60,4.3118,0.986
large,nsga2,0,1000,300,10,100,100,9.0593,2.472
large,nsga2,1,8919,300,10,100,100,9.0235,2.618
large,nsga2,2,16838,300,10,100,100,9.0915,2.598
large,nsga2,3,24757,300,10,100,100,8.8206,2.642
large,nsga2,4,32676,300,10,100,100,9.2985,2.622
large,nsga2,5,40595,300,10,100,100,9.045,2.611
large,nsga2,6,48514,300,10,100,100,8.9606,2.61
large,nsga2,7,56433,300,10,100,100,8.8719,2.595
large,nsga2,8,64352,300,10,100,100,8.7858,2.585
large,nsga2,9,72271,300,10,100,100,8.7587,2.615
large,nrga,0,1000,300,10,100,100,6.7713,2.559
large,nrga,1,8919,300,10,100,100,6.5363,2.575
large,nrga,2,16838,300,10,100,100,6.7851,2.555
large,nrga,3,24757,300,10,100,100,7.094,2.56
large,nrga,4,32676,300,10,100,100,7.0115,2.613
large,nrga,5,40595,300,10,100,95,6.7247,2.478
large,nrga,6,48514,300,10,100,100,7.1747,2.657
large,nrga,7,56433,300,10,100,45,6.8287,1.472
large,nrga,8,64352,300,10,100,100,6.7598,2.593
large,nrga,9,72271,300,10,100,100,6.7144,2.63
