platform,python,numpy,scipy,deap,pymoo,size,seed,signature,in_process_rep
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,1000,b68267facbc6342ca0ff0b6282638887002969ab47e6690f1ce25291e8f27ace,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,8919,612576194f3696fa198bd46bf3df00bfa86bab6afda534f8e0538491c5842fa5,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,16838,3b3ba4e3a8e0937d54fb94ce173e27c4cf9010cc88cd64f49cdca0c254472d31,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,24757,a0e0fad5b23a6e6d28aa16f760904c8d4bc1610d577cf177462e509a93db1e2c,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,32676,6b8113a536174c17afb32c1059b51d7823f50212fb89f8e03904003e6fd1e98d,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,40595,fb89a4b10781e85fa4878656e03f9c40ab0fbca404ecdce254f1846beb1b3f9f,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,48514,958893eafbba577b3debd7bef725ef5937c74341d0d5488e82c966984f94bff3,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,56433,e9dd10781505de11a75c15501fb517702c346b7fe0ad9d4e624481eb34e5b6af,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,64352,254bd744b1ac6d47c9f2ad4ac45dd804d47baa4ef3709c5444bc13ec40f2da6a,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,small,72271,1bff535463d60eccc7c8e5187412ec920fa8edd207606a7b986fa7809f5e95de,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,1000,d9fbf4fef0e023211d24c21a8383272fd8934fe29a59d88d2fd42817d911af6f,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,8919,66df25d2a7eebed162342ac918d69a4af151f1d20a7aa01338b9b06b18c37f05,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,16838,cc2a9a06ad68625894871d2b81a4d890118be566d2683f2fa9bc9acc2019b36c,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,24757,d7fceb4699296690ec674bf4caa4f874cf3e02c1322cda81942f9793e04536e6,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,32676,2960d3570937e41713b5f49552c392664e4e505760dd9b1cfece74303f5ac63e,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,40595,b69647856c34dc4ea6b929569327eca92d0455ce568f06326b6b788ff03b6b22,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,48514,570dc387fc46581b56a9b4224260110e987fb3df5b834c835306063b9fc43895,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,56433,48f66703aa9ec0fa174741e18d7faefa33a1b156cb717590b17bc0c3020e2b38,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,64352,7cd96efb8a517f284344646453a866b09b556ae12a5ae05d90c2a3afbf8fcab1,1.0
macOS-15.7.5-arm64-arm-64bit,3.12.13,2.4.6,1.17.1,1.4.4,0.6.1.6,large,72271,028fddb928d09e18fa30cc92761d244471b211f72df901af901a8f294551656e,1.0
